Price,Address,Bedrooms,Energy class,Primary energy consumption,Furnished,Terrace,Terrace surface,Surface of the plot,Living room surface,Number of frontages,Construction year,Building condition,Outdoor parking space,Bathrooms,Shower rooms,Office,Toilets,Kitchen type,Heating type,immo_code,postal code
€199000,Rue Albert 1er 24,3,E,369,No,0,21,0,50,2,0,0,0,1,0,0,0,Installed,Gas,10667614,6000
€170000,Rue Albert 1er 24,2,E,346,No,0,50,0,17,3,0,0,0,0,1,0,0,Installed,Gas,10667613,7140
€129000,Rue des Combattants 37,2,C,239,0,0,0,0,0,0,0,0,0,0,1,0,0,Not installed,0,10667610,6001
€210000,Koningsstraat 23,2,B,174,No,0,0,0,0,0,0,Good,0,0,0,0,1,Hyper equipped,Gas,10667608,8400
€,Kempische Steenweg 398,2,B,132,No,Yes,0,0,0,2,1999,Good,0,1,0,0,0,0,Gas,10667607,3511
€565000,Rue Roi Albert 157,5,E,345,0,0,0,2300,45,4,1850,Good,0,2,0,0,2,Installed,Fuel oil,10667606,5353
€175000,Rue du Moulin 2,4,C,208,No,0,0,0,14,2,0,Good,0,2,0,Yes,3,0,Gas,10667604,7860
€675000,Avenue Broqueville 1,7,G,348,0,0,30,220,48,2,0,Good,0,3,0,0,3,Installed,Gas,10667603,1030
€225000,Av. Albert 1er 2a,1,C,250,0,0,20,0,23,0,2011,0,0,0,1,0,1,0,Gas,10667600,5100
€157000,place de la Victoire 15,2,E,405,No,0,11,0,0,3,0,0,0,1,0,No,1,Installed,0,3,27
€299000,Route du Condroz 151,2,G,541,0,Yes,0,378,28,3,0,Good,0,1,0,0,2,Semi equipped,Fuel oil,10667592,4121
€99000,Route du Condroz 151,1,F,510,0,Yes,0,70,25,2,0,Good,0,0,0,0,0,Semi equipped,Pellet,10667588,4577
€PEB,Rue du Vieux-Mayeur 51,8,D,193,No,Yes,0,655,0,0,0,As new,0,0,0,0,10,Hyper equipped,Gas,10667587,1050
€3790000,Rue du Vieux-Mayeur 51,5,D,193,No,Yes,0,566,42,0,0,As new,0,0,0,0,6,Hyper equipped,Gas,10667586,1050
€135000,Rue de la Déportation 81,1,G,790,No,0,0,250,0,3,0,To renovate,0,0,0,No,1,Not installed,0,10667585,1480
€159900,Rue de la Déportation 81,2,F,478,Yes,0,9,315,28,3,0,To be done up,0,1,0,Yes,1,Installed,Gas,10667584,6240
€255000,Chaussee de Charleroi 59 B,3,E,420,0,0,12,400,81,0,0,0,0,1,0,Yes,1,Semi equipped,Fuel oil,10667577,5030
€325000,Hulstedorp 18,3,F,592,No,Yes,0,1209,0,0,0,To be done up,0,0,1,0,2,Semi equipped,Gas,10667576,8582
€169000,Avenue des Ardennes 1/02,2,C,186,0,0,25,0,28,2,1930,Just renovated,0,0,1,0,1,Installed,Gas,10667575,4540
€,Lochtemanweg 6,3,Not specified,Not specified,0,0,0,535,0,3,0,0,0,1,0,0,2,0,0,10667574,3581
€540000,Antwerpsesteenweg 359,3,D,338,0,0,0,1365,55,4,0,To be done up,0,1,0,0,3,Installed,Gas,10667571,2243
€239000,Bld. Sylvain Dupuis 237,2,Not specified,Not specified,No,0,9,0,30,4,0,0,0,1,0,0,1,Installed,Gas,10667563,1070
€345000,Place des chasseurs Ardennais 24-26,2,E,241,0,0,6,0,32,2,1933,To be done up,0,1,0,0,1,Installed,Gas,10621411,1030
€395000,Houtestraat 62,3,C,272,0,0,16,133,32,0,0,0,0,1,0,0,2,Installed,Gas,10667561,2800
€575000,Meyskensstraat 222,4,F,591,0,0,30,1180,41,4,1985,To be done up,0,1,1,Yes,2,Semi equipped,Electric,10667558,9340
€375000,Venelle de la réserve 2,4,B,116,0,0,70,792,55,4,2023,0,0,1,1,Yes,2,0,Gas,10667557,1370
€319000,Avenue du Bourgmestre Jean Materne 96/1,4,D,274,No,0,60,70,0,2,1900,Good,0,3,3,0,3,Semi equipped,Gas,10667546,5000
€462000,Damstraat 131 bus1,3,D,368,0,Yes,0,560,0,4,0,0,0,2,0,0,2,Installed,Gas,10667544,9870
€447000,Edingsesteenweg 341,3,F,721,0,0,30,1350,43,4,1900,Good,0,1,0,0,2,Semi equipped,Fuel oil,10667543,9400
€447000,Edingsesteenweg 341,3,F,721,0,0,30,1350,43,4,1900,Good,0,1,0,0,2,Semi equipped,Fuel oil,10667542,9506
€447000,Edingsesteenweg 341,3,F,721,0,0,30,1350,43,4,1900,Good,0,1,0,0,2,Semi equipped,Fuel oil,10667541,9400
€190000,Rue Charles Magnette 24/40,1,B,131,0,0,3,0,30,0,0,Good,0,0,1,0,1,Installed,Gas,10667539,4430
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10667538,8760
€790000,RUE FRANZ MERJAY 148 C,6,Not specified,Not specified,0,0,20,385,80,3,1993,Good,0,1,2,0,3,Installed,Gas,10602773,1050
€790000,RUE FRANZ MERJAY 148 C,6,Not specified,Not specified,0,0,20,385,80,3,1993,Good,0,1,2,0,3,Installed,Gas,10602771,1170
€250000,Rue Natalis 2,3,A,71,No,Yes,0,0,0,3,2008,To be done up,0,1,1,0,1,Installed,Pellet,8,3
€).,Place Leblanc 28,2,G,612,0,0,0,183,18,0,0,To renovate,0,0,1,0,1,Semi equipped,Fuel oil,10667530,4170
€749000,Luikerstraat 81,4,B,138,0,0,0,0,41,2,1937,0,0,2,0,0,3,Hyper equipped,Gas,10667528,3800
€215000,Luikerstraat 81,1,B,177,0,0,0,0,0,2,0,Good,0,1,0,0,1,Installed,Gas,10667527,3800
€245000,Rue de Marchovelette 17,3,G,825,No,0,4,612,0,4,0,To renovate,0,1,0,0,0,0,Gas,10667525,5004
€250000,Waaibergstraat 92,3,F,652,No,0,0,1174,0,4,1974,0,0,1,0,0,0,0,Fuel oil,10667523,3350
€645000,Schoolstraat 101,4,B,141,No,Yes,0,1509,0,4,1999,As new,0,2,0,Yes,2,Installed,Gas,10667522,1745
€229000,Voogdijstraat 12,3,F,907,0,0,0,1000,32,4,0,To renovate,0,1,0,0,1,Semi equipped,Fuel oil,10667521,2400
€20.000.,Hasseltsestraat 17,3,A,91,0,0,10,0,0,2,2008,0,0,1,0,0,2,Installed,Gas,10626903,3470
€785000,Rue François Libert 39,5,E,421,No,0,30,3040,46,4,1988,To be done up,0,2,0,0,2,Installed,Electric,10667513,1380
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10667511,1060
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10667510,1060
€89000,Distellaan 34,0,C,246,Yes,0,0,0,0,2,1978,Good,0,1,0,0,0,0,Electric,10667509,8434
€249000,Bld. Sylvain Dupuis 237,3,Not specified,Not specified,No,0,3,0,35,3,0,0,0,0,1,0,1,Installed,Gas,10524166,1600
€299000,Alsembergsesteenweg 660,4,F,1113,0,Yes,0,905,0,3,1950,To renovate,0,2,0,0,2,Not installed,0,10667506,1755
€,Boulevard d'Avroy 238B,2,D,319,0,0,19,0,49,2,0,0,0,1,0,0,1,Installed,Gas,8,3
€1180000,Alsembergsesteenweg 660,5,C,250,0,Yes,0,15797,48,4,1962,Just renovated,0,3,0,0,0,Hyper equipped,Gas,10667497,1540
€299000,Alsembergsesteenweg 660,4,F,1113,0,Yes,0,905,0,3,1950,To renovate,0,2,0,0,2,Not installed,0,10667496,1755
€299000,Alsembergsesteenweg 660,3,Not specified,Not specified,0,0,0,0,0,2,1899,To be done up,0,1,0,0,2,Semi equipped,Gas,10667494,1502
€299000,Alsembergsesteenweg 660,3,Not specified,Not specified,0,0,0,0,0,2,1899,To be done up,0,1,0,0,2,Semi equipped,Gas,10667493,1502
€529000,Alsembergsesteenweg 660,4,F,935,0,0,0,520,40,3,1969,To be done up,0,0,0,0,0,Semi equipped,Fuel oil,10667492,1620
€529000,Alsembergsesteenweg 660,4,F,935,0,0,0,520,40,3,1969,To be done up,0,0,0,0,0,Semi equipped,Fuel oil,10667491,1630
€529000,Alsembergsesteenweg 660,4,F,935,0,0,0,520,40,3,1969,To be done up,0,0,0,0,0,Semi equipped,Fuel oil,10667490,1650
€335000,Alsembergsesteenweg 660,3,E,401,0,Yes,0,514,30,2,1930,Just renovated,0,1,0,0,2,Semi equipped,Gas,10667488,1500
€490000,Alsembergsesteenweg 660,4,C,277,0,Yes,0,575,35,4,1972,Just renovated,0,2,0,0,2,Installed,Electric,10667487,1500
€490000,Alsembergsesteenweg 660,4,C,277,0,Yes,0,575,35,4,1972,Just renovated,0,2,0,0,2,Installed,Electric,10667486,1502
€790000,Alsembergsesteenweg 660,4,C,226,0,Yes,0,1750,36,4,1996,Just renovated,0,2,0,0,2,Installed,Gas,10667485,1500
€790000,Alsembergsesteenweg 660,4,C,226,0,Yes,0,1750,36,4,1996,Just renovated,0,2,0,0,2,Installed,Gas,10667484,1502
€1180000,Alsembergsesteenweg 660,5,C,250,0,Yes,0,15797,48,4,1962,Just renovated,0,3,0,0,0,Hyper equipped,Gas,10667483,7850
€845000,Alsembergsesteenweg 660,4,B,199,0,Yes,0,1170,30,3,1952,Just renovated,0,2,0,0,0,Installed,Gas,10667482,1500
€1180000,Alsembergsesteenweg 660,5,C,250,0,Yes,0,15797,48,4,1962,Just renovated,0,3,0,0,0,Hyper equipped,Gas,10667481,1540
€,Avenuedes Ardennes 7d,4,F,443,0,Yes,0,428,0,2,0,To be done up,0,2,1,0,3,Semi equipped,Fuel oil,10667480,4590
€850,Les Grands Champs 36,6,Not specified,Not specified,0,Yes,0,0,0,3,1971,0,0,2,0,0,3,0,Fuel oil,10667479,6690
€115000,Rue de France 37,3,D,330,0,0,0,225,0,3,0,Just renovated,0,1,0,0,2,Semi equipped,Fuel oil,10667473,5670
€170000,Dr. Persoonslaan 15 b,3,F,758,0,0,0,283,27,3,1899,To renovate,0,1,0,0,1,Semi equipped,Gas,10607047,2880
€248000,Kattendijkdok Westkaai 33,3,E,444,0,0,6,0,0,0,0,0,0,1,0,0,1,0,Electric,10667470,2640
€210000,Kempische Steenweg 398,2,E,448,No,0,0,217,0,2,1952,0,0,1,0,0,0,0,Gas,10667469,2250
€395000,Avenue Louise 200,2,D,172,0,0,14,0,45,2,1972,Good,0,1,1,0,2,Semi equipped,Fuel oil,10667468,1190
€138000,Boelare 67,2,F,597,No,0,0,130,0,2,0,To renovate,0,1,0,0,0,0,Gas,10667464,9900
