Price,Address,Bedrooms,Energy class,Primary energy consumption,Furnished,Terrace,Terrace surface,Surface of the plot,Living room surface,Number of frontages,Construction year,Building condition,Outdoor parking space,Bathrooms,Shower rooms,Office,Toilets,Kitchen type,Heating type,immo_code,postal code
€499000,Rue de Mons 63,3,E,369,No,Yes,0,1300,0,4,0,Good,0,1,0,0,0,0,0,10643279,1410
€135000,Rue Daoust 48/1,2,D,270,No,0,0,0,18,2,1997,To be done up,0,1,1,0,1,Installed,Fuel oil,5500,20
€155000,Rue Daoust 48/1,2,D,263,No,0,0,0,0,2,1997,To be done up,0,1,1,0,1,Installed,Fuel oil,5500,20
€269000,Rue Daoust 48/1,3,C,233,No,0,40,0,33,3,1997,To be done up,0,1,1,Yes,1,Installed,Fuel oil,5500,20
€299000,Rue de Herve 70,3,D,299,No,0,0,750,28,4,2000,Good,0,1,1,0,2,Installed,Fuel oil,10643270,4610
€299000,Rue de Herve 70,3,D,299,No,0,0,750,28,4,2000,Good,0,1,1,0,2,Installed,Fuel oil,10643269,4610
€,markt 9,4,A,22,No,Yes,0,189,0,4,0,Good,0,2,0,0,2,0,0,10643264,9700
€235000,Kouter 98,1,E,440,No,0,0,0,0,2,1992,Good,0,1,0,0,1,Installed,Electric,10643261,9000
€208938,Boterstraat 47,2,Not specified,Not specified,No,0,7,0,0,4,0,Good,0,1,0,0,0,Installed,0,10643260,8900
€207334,Boterstraat 47,2,Not specified,Not specified,No,0,7,0,0,4,0,Good,0,1,0,0,0,Installed,0,10643259,8900
€199000,Grote Markt 13,2,B,139,No,Yes,0,0,0,2,2000,Good,0,1,0,0,1,Installed,0,10643257,8890
€1998000,Heilig Hartplaats 3,4,Not specified,Not specified,No,Yes,0,2837,0,4,2021,As new,0,2,0,0,3,Hyper equipped,Gas,10643254,2880
€225000,"Boulevard Louis Mettewie 262, Bte 18",2,G,415,No,0,20,0,30,4,0,0,0,0,1,0,1,Installed,Gas,10643252,1080
€348000,Avenue Paul pastur 380,4,E,422,No,0,18,1451,50,4,1978,0,0,2,1,0,3,Installed,Fuel oil,10643250,6120
